"NAME","TEL","URL","ADDRESS1","ZIP","longtitude","latitude"
"Michael Schimmel Center for the Arts at Pace University","(800) 874-7223","http://www.pace.edu/page.cfm?doc_id=26266","3 Spruce Street",10038,-74.0050972755691,40.711356500121
"Miller Theatre at Columbia University","(212) 854-7799","http://www.millertheatre.com/","2960 Broadway",10027,-73.963460455823,40.807586707391
"Minskoff Theatre","(212) 869-0550","http://www.minskofftheatre.com/","1515 Broadway",10036,-73.9860541944105,40.757923336029
"Music Box Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/music_box.asp","239 W 45th St",10036,-73.9871424612449,40.758887414674
"Nederlander Theater","(212) 921-8000","http://nederlandertheatre.com/","208 W 41st St",10036,-73.9883089712795,40.755486799823
"Neil Simon Theatre","(212) 757-8646","http://www.neilsimontheatre.com/","250 W 52nd St",10019,-73.9845281214545,40.763017931732
"New Amsterdam Theater","(212) 282-2900","http://www.newamsterdamtheatre.net/index.htm","214 W 42nd St",10036,-73.9877630076589,40.7561204665238
"New Victory Theatre","(646) 223-3010","http://www.newvictory.org/","209 West 42nd Street",10036,-73.9874641573091,40.756557160992
"New World Stages","(646) 871-1730","http://www.newworldstages.com/","340 West 50th Street",10019,-73.9878670344149,40.762373956684
"Next Stage Theater","(888) VISIT-NY","http://www.newyorkcitytheatre.com/theaters/nextstagetheater/location.php","312 West 11th Street",10014,-74.0065886405129,40.73562146714
"Nokia Theatre Times Square","(212) 930-1959","http://nokiatheatrenyc.com/","1515 Broadway",10036,-73.9862179446126,40.757678172894
"Ohio Theatre","(212) 966-4844","http://www.sohothinktank.org/index.html","66 Wooster Street",10012,-74.00161141394,40.723279838909
"Ontological Hysteric Theater","(212) 941-8911","http://www.ontological.com/","260 W Broadway",10013,-74.0056710896365,40.720546556543
"Orpheum Theater","(212) 828-9738","http://www.orpheum-theater.com/","1538 3rd Ave",10028,-73.9540094253355,40.779455378125
"P.S.122 Performance Space","(212) 477-5288","http://www.ps122.org/","150 1st Ave",10003,-73.9845372800311,40.728218122202
"Palace Theatre","(212) 730-8200","http://www.palacetheatreonbroadway.com/","1564 Broadway",10036,-73.984470315506,40.758889926706
"Pearl Theatre","(212) 505-3401","http://www.pearltheatre.org/","80 Saint Marks Pl",10003,-73.9857997755745,40.727559019006
"People's Improv Theater","(212) 563-7488","http://www.thepit-nyc.com/","154 W 29th St",10001,-73.9922899539916,40.747367179751
"Playwrights Horizons Theater School","(212) 529-8720","http://www.phtschool.org/","440 Lafayette St",10003,-73.9922209999171,40.729488634445
"Queens Theatre in the Park","(718) 760-0064","http://www.queenstheatre.org/web/","Flushing Meadows Corona Park",11352,-73.8445520962721,40.743979284455
"Rattlestick Theater","(212) 627-2556","http://www.rattlestick.org/","224 Waverly Pl",10014,-74.0020365027953,40.736174067198
"Richard Rodgers Theatre","(212) 221-1211","http://www.richardrodgerstheatre.com/","226 W 46th Street",10036,-73.9867417603334,40.7590383301823
"Samuel J. Friedman Theatre (formerly the Biltmore)","(888) VISIT-NY","http://www.theatermania.com/broadway/theaters/samuel-j-friedman-theatre_7420/","261 W 47th St",10036,-73.9867451047669,40.760375020902
"Second Stage Theater","(212) 246-4422","http://www.2st.com/","307 W 43rd St",10036,-73.9897378924108,40.758239914427
"Shubert Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/shubert.asp","225 W 44th St",10036,-73.9872393054996,40.758137611181
"Snapple Theater Center","(212) 921-7862","http://www.nytheatre.com/nytheatre/venue.php?t=snapple","1627 Broadway",10019,-73.9844289193422,40.761410621397
"SoHo Playhouse","(212) 691-1555","http://www.sohoplayhouse.com/","15 Vandam St",10013,-74.0043619372209,40.726535675291
"SoHo Repertory Theatre","(212) 941-8632","http://www.sohorep.org/","86 Franklin St",10013,-74.0047293524853,40.718230021804
"St. James Theatre","(888) VISIT-NY","http://www.stjames-theater.com/?gclid=CPWjnLTO9p0CFcZM5QodoUaupw","246 W 44th St",10036,-73.988160536997,40.757998226573
"Studio 54 Theatre","(212) 719-1300","http://www.roundabouttheatre.org/ot_54.htm","254 W 54th Street",10019,-73.9837709586554,40.764354083646
"Swedish Cottage Marionette Theater","(212) 988-9093","http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_swedish_cottage.html","West Side at 79th Street",10025,-73.9703757813218,40.779966302813
"Tenement Theatre","(212) 431-0233","http://www.tenement.org/prog_theater.html","97 Orchard Street",10002,-73.99027790676,40.71854810051
"The Beckett Theatre","(212) 714-2442","http://www.theatrerow.org/thebeckett.htm","410 W 42 St",10036,-73.9937414736582,40.758684606664
"The Cherry Pit","(212) 633-6533","http://www.cherrylanetheatre.org/","155 Bank St",10014,-74.0090218009862,40.736458098252
"The Little Shubert theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/little_shubert.asp","422 West 42nd Street",10036,-73.9939177859315,40.758553112971
"The Public Theater","(212) 260-2400","http://www.publictheater.org/","425 Lafayette St",10003,-73.9917737198364,40.728923402093
"The Secret Theatre","(718) 392-0722","http://www.secrettheatre.com/","44-02 23rd St.",11101,-73.9448212320786,40.748905997489
"The Upright Citizens Brigade Theatre","(212) 366-9176","http://www.ucbtheatre.com/","307 W 26th Street",10001,-73.9973874129749,40.7476535942715
"The Walter Reade Theater at Lincoln Center","(212) 875-5600","http://www.filmlinc.com/wrt/wrt.html","70 Lincoln Center Plaza",10023,-73.9842438655636,40.774102169778
"The Zipper Theater","(212) 563-0480","http://www.yelp.com/biz/the-zipper-theater-new-york","336 W 37th St",10018,-73.9940336423708,40.754674793483
"Theater For The New City","(212) 254-1109","http://www.theaterforthenewcity.net/","155 1st Avenue",10003,-73.9849803469873,40.728692780702
"Theatre @ St. Clement's","(212) 246-7277","http://www.stclementsnyc.org/","423 West 46th Street",10036,-73.9915711499505,40.761566693749
"Theatre 80 St Marks","(212) 353-3321","http://www.theatermania.com/new-york/theaters/theater-80_3446/","80 Saint Marks Pl",10003,-73.9857517890834,40.72762096989
"Theatre Row","(212) 714-2442","http://www.theatrerow.org/","410 W 42nd Street",10036,-73.9938962431641,40.758728369208
"Under St. Marks","(212) 777-6088","http://www.httheater.org/rentersUNDER.html","94 St. Marks Place",10009,-73.9849648349909,40.727289747048
"Union Square Theater","(212) 505-0700","http://www.nytheatre.com/nytheatre/union.htm","100 E 17th St",10003,-73.9887489668708,40.736240661266
"Village Theater","(212) 253-0623","http://www.villagetheatre.org/","158 Bleecker St",10012,-74.0002235060267,40.728455101424
"Vineyard Theatre","(212) 353-3366","http://www.vineyardtheatre.org/","108 E 15th St",10003,-73.9891891765846,40.734699742826
"Walkerspace Theater","(212) 868-4444","http://www.theateronline.com/venuebook.xzc?PK=238&View=Hist","46 Walker Street",10013,-74.0035137020492,40.719311501097
"Wamu Theater (formerly Theater At Madison Square Garden)","(212) 465-6741","http://www.theateratmsg.com/","4 Penn Plaza",10001,-73.9933951892158,40.750497254045
"Westside Theater","(212) 315-2244","http://www.westsidetheatre.com/","407 W 43rd St",10036,-73.9925532404775,40.75952741611
"Wings Theatre","(212) 627-2960","http://www.wingstheatre.com/","154 Christopher St",10014,-74.0088925664614,40.7323990376221
"Winter Garden Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/winter_garden.asp","1634 Broadway",10019,-73.9834816305711,40.76152464628
"York Theatre","(212) 935-5820","http://www.yorktheatre.org/","619 Lexington Ave",10022,-73.9699788591561,40.758357229201
"Delacorte Theater","(212) 861-7277","http://www.centralpark.com/pages/attractions/delacorte-theatre.html","Central Park - Mid-Park at 80th Street",0,-73.9688248050205,40.7801756353036
