"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","add","lon","lat","geoAddress"
40381797,"ROSA MEXICANO","MANHATTAN","1063","FIRST AVENUE",10022,"2127537407","Mexican","2/25/16","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",19,"","","9/27/17","Cycle Inspection / Initial Inspection","1063 FIRST AVENUE",-73.9627516,40.7589866,"1063 1st avenue, new york, ny 10022, usa"
40597763,"GREAT JONES CAFE","MANHATTAN","54","GREAT JONES ST",10012,"2126744728","American","4/18/14","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",35,"","","9/27/17","Cycle Inspection / Initial Inspection","54 GREAT JONES ST",-73.9921584,40.72672,"54 great jones st, new york, ny 10012, usa"
41303464,"VICKY'S DINER","MANHATTAN","805","WEST  187 STREET",10033,"2129278458","American","6/12/15","Violations were cited in the following area(s).","02G","Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.","Critical",43,"","","9/27/17","Cycle Inspection / Initial Inspection","805 WEST  187 STREET",-73.9373482,40.8554129,"805 w 187th st, new york, ny 10040, usa"
41600677,"XO TASTE","MANHATTAN","41","ELIZABETH STREET",10013,"2123438339","Chinese","12/18/14","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","12/18/14","9/27/17","Cycle Inspection / Re-inspection","41 ELIZABETH STREET",-73.9969652,40.7170283,"41 elizabeth st, new york, ny 10013, usa"
41538728,"BOWLMOR LANE","MANHATTAN","222","WEST   44 STREET",10036,"2126800012","American","9/25/14","Violations were cited in the following area(s).","02G","Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.","Critical",13,"A","9/25/14","9/27/17","Cycle Inspection / Initial Inspection","222 WEST   44 STREET",-73.9872029,40.7576666,"222 w 44th st, new york, ny 10036, usa"
41164793,"LATINO'S BAR & GRILL RESTAURANT","MANHATTAN","3864","BROADWAY",10032,"2127401313","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","4/17/15","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140í‰Œ_ F.","Critical",55,"","","9/27/17","Cycle Inspection / Initial Inspection","3864 BROADWAY",-73.9426229,40.8366155,"3864 broadway, new york, ny 10032, usa"
40827050,"SUBWAY","MANHATTAN","106","GREENWICH STREET",10006,"2016545901","Sandwiches","5/12/15","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",14,"","","9/27/17","Cycle Inspection / Initial Inspection","106 GREENWICH STREET",-74.0136127,40.7085336,"106 greenwich st, new york, ny 10006, usa"
41700988,"44TH STREET MINAR","MANHATTAN","160","EAST   44 STREET",10017,"2129490245","Indian","8/8/16","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140í‰Œ_ F to 70í‰Œ_ F or less within 2 hours, and from 70í‰Œ_ F to 41í‰Œ_ F or less within 4 additional hours.","Critical",9,"A","8/8/16","9/27/17","Cycle Inspection / Initial Inspection","160 EAST   44 STREET",-73.9739606,40.7520891,"160 e 44th st, new york, ny 10017, usa"
50013398,"MARTA","MANHATTAN","29","E 29TH ST",10016,"2126513800","Italian","10/28/16","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","10/28/16","9/27/17","Cycle Inspection / Initial Inspection","29 E 29TH ST",-73.9844689,40.7447125,"29 e 29th st, new york, ny 10016, usa"
41074315,"ROCKWOOD MUSIC HALL","MANHATTAN","184198","ALLEN STREET",10002,"2124774155","American","9/11/14","Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical",9,"A","9/11/14","9/27/17","Cycle Inspection / Initial Inspection","184198 ALLEN STREET",-73.9908008,40.7187073,"allen st, new york, ny 10002, usa"
40991382,"COZY CORNER/CHICKEN LOVER","MANHATTAN","1161","2 AVENUE",10065,"2123086052","Delicatessen","4/30/16","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",28,"","","9/27/17","Cycle Inspection / Initial Inspection","1161 2 AVENUE",-73.963585,40.762102,"1161 2nd ave, new york, ny 10065, usa"
41614210,"PETALUMA","MANHATTAN","1356","1 AVENUE",10021,"2127728800","Italian","10/16/14","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",27,"","","9/27/17","Cycle Inspection / Initial Inspection","1356 1 AVENUE",-73.9553054,40.7682295,"1356 1st avenue, new york, ny 10021, usa"
41692902,"STRIP HOUSE","MANHATTAN","15","WEST   44 STREET",10036,"2123365454","Steak","11/3/16","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical",12,"A","11/3/16","9/27/17","Cycle Inspection / Initial Inspection","15 WEST   44 STREET",-73.9806807,40.7553242,"15 w 44th st, new york, ny 10036, usa"
50037199,"THE JUICE SHOP","MANHATTAN","956","3RD AVE",10022,"2126444913","Juice, Smoothies, Fruit Salads","8/1/16","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A","8/1/16","9/27/17","Cycle Inspection / Re-inspection","956 3RD AVE",-74.0069593,40.6554819,"956 3rd ave, brooklyn, ny 11232, usa"
40384222,"PJ MORANS","MANHATTAN","3","EAST   48 STREET",10017,"2127536440","Irish","6/1/17","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",35,"","","9/27/17","Cycle Inspection / Initial Inspection","3 EAST   48 STREET",-73.9774875,40.7572463,"3 e 48th st, new york, ny 10017, usa"
40401912,"O'NIEALS","MANHATTAN","174","GRAND STREET",10013,"2129419119","American","9/20/17","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",7,"A","9/20/17","9/27/17","Cycle Inspection / Initial Inspection","174 GRAND STREET",-73.9978321,40.7197109,"174 grand st, new york, ny 10013, usa"
40366574,"BLARNEY STONE","MANHATTAN","11","TRINITY PLACE",10006,"2122694988","Irish","5/31/17","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","5/31/17","9/27/17","Cycle Inspection / Re-inspection","11 TRINITY PLACE",-74.0137007,40.7062029,"11 trinity pl, new york, ny 10006, usa"
50015399,"LAN LARB","MANHATTAN","637","2ND AVE",10016,"2128891769","Thai","7/6/16","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",19,"","","9/27/17","Cycle Inspection / Initial Inspection","637 2ND AVE",-73.9757733,40.745356,"637 2nd ave, new york, ny 10016, usa"
50040296,"GAMMEEOK","MANHATTAN","9","W 32ND ST",10001,"2128681180","Korean","7/5/16","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140í‰Œ_ F.","Critical",12,"A","7/5/16","9/27/17","Cycle Inspection / Re-inspection","9 W 32ND ST",-73.9860601,40.7476844,"9 w 32nd st, new york, ny 10001, usa"
41488338,"388 CAFE & DELI","MANHATTAN","3-Jan","ELDRIDGE STREET",10002,"2122191318","Chinese","11/24/15","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A","11/24/15","9/27/17","Cycle Inspection / Initial Inspection","1-3 ELDRIDGE STREET",-74.5702003,39.9737768,"1 eldridge st, browns mills, nj 08015, usa"
50046632,"BINGBOX SNOW CREAM","MANHATTAN","125","2ND AVE",10003,"9176757454","Ice Cream, Gelato, Yogurt, Ices","4/10/17","Violations were cited in the following area(s).","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.","Critical",18,"","","9/27/17","Cycle Inspection / Initial Inspection","125 2ND AVE",-73.9882289,40.7284012,"125 2nd ave, new york, ny 10003, usa"
50003015,"BARBALU","MANHATTAN","225","FRONT STREET",10038,"6469186565","Italian","5/5/15","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",11,"A","5/5/15","9/27/17","Cycle Inspection / Initial Inspection","225 FRONT STREET",-74.002061,40.7073602,"225 front st, new york, ny 10038, usa"
41578619,"MCDONALD'S","MANHATTAN","444","LENOX AVENUE",10037,"2122837798","American","1/26/15","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","1/26/15","9/27/17","Cycle Inspection / Initial Inspection","444 LENOX AVENUE",-73.94178,40.812233,"444 lenox ave, new york, ny 10030, usa"
41232102,"CHUCK E. CHEESE'S","MANHATTAN","280","ST NICHOLAS AVENUE",10027,"2122229772","Pizza","12/8/15","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",30,"","","9/27/17","Cycle Inspection / Initial Inspection","280 ST NICHOLAS AVENUE",-73.9527649,40.8101402,"280 st nicholas ave, new york, ny 10027, usa"
50040546,"BARILLA RESTAURANTS","MANHATTAN","108","W 32ND ST",10001,"2128477171","Italian","3/7/16","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,"A","3/7/16","9/27/17","Pre-permit (Operational) / Re-inspection","108 W 32ND ST",-73.9890863,40.748454,"108 w 32nd st, new york, ny 10001, usa"
41713226,"CAFE MOFONGO","MANHATTAN","316","WEST   39 STREET",10018,"2124650592","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","6/12/17","Violations were cited in the following area(s).","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","Critical",26,"","","9/27/17","Cycle Inspection / Initial Inspection","316 WEST   39 STREET",-73.992228,40.7555229,"316 w 39th st, new york, ny 10018, usa"
41225222,"DISHES","MANHATTAN","399","PARK AVENUE",10022,"2124215511","American","12/2/15","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",24,"","","9/27/17","Cycle Inspection / Initial Inspection","399 PARK AVENUE",-73.9718849,40.7591191,"399 park ave, new york, ny 10022, usa"
50043794,"T-SWIRL CREPE","MANHATTAN","2","MOTT ST",10013,"6467264166","Japanese","5/9/17","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",28,"","","9/27/17","Cycle Inspection / Initial Inspection","2 MOTT ST",-73.9984808,40.7137987,"2 mott st, new york, ny 10013, usa"
40391060,"LUKE'S BAR & GRILL","MANHATTAN","1394","THIRD AVENUE",10075,"2122497070","American","10/11/16","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",15,"","","9/27/17","Cycle Inspection / Initial Inspection","1394 THIRD AVENUE",-74.007284,40.6549822,"1394 3rd ave, brooklyn, ny 11232, usa"
41523593,"EDI & THE WOLF","MANHATTAN","102","AVENUE C",10009,"2125981040","German","9/12/14","Violations were cited in the following area(s).","02G","Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.","Critical",18,"","","9/27/17","Cycle Inspection / Initial Inspection","102 AVENUE C",-73.9787119,40.7237641,"102 avenue c, new york, ny 10009, usa"
40750285,"CROSSROADS (MARRIOTT MARQUIS)","MANHATTAN","1535","BROADWAY",10036,"2123981900","American","10/12/16","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A","10/12/16","9/27/17","Cycle Inspection / Initial Inspection","1535 BROADWAY",-73.9862474,40.7586114,"1535 broadway, new york, ny 10036, usa"
50001855,"MANGIA","MANHATTAN","422","MADISON AVE",10017,"2126449144","American","8/5/16","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",30,"","","9/27/17","Cycle Inspection / Initial Inspection","422 MADISON AVE",-73.9764615,40.7570911,"422 madison ave, new york, ny 10017, usa"
40638792,"MERCER KITCHEN","MANHATTAN","99","PRINCE STREET",10012,"2129665454","Irish","4/24/17","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",10,"A","4/24/17","9/27/17","Cycle Inspection / Initial Inspection","99 PRINCE STREET",-73.9986648,40.7249049,"99 prince st, new york, ny 10012, usa"
41670338,"A ASO SUSHI","MANHATTAN","1103","1 AVENUE",10065,"2128888276","Japanese","5/20/14","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","5/20/14","9/27/17","Cycle Inspection / Initial Inspection","1103 1 AVENUE",-73.9615805,40.760633,"1103 1st avenue, new york, ny 10065, usa"
41722632,"CAFE HABANA/CAFE HABANA TO GO","MANHATTAN","17","PRINCE STREET",10012,"2126252001","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","3/16/15","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140í‰Œ_ F.","Critical",24,"","","9/27/17","Cycle Inspection / Initial Inspection","17 PRINCE STREET",-73.994193,40.722933,"17 prince st, new york, ny 10012, usa"
41457023,"CASA MEZCAL","MANHATTAN","86","ORCHARD STREET",10002,"2127772600","Mexican","5/12/15","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",18,"","","9/27/17","Cycle Inspection / Initial Inspection","86 ORCHARD STREET",-73.9901253,40.7179202,"86 orchard st, new york, ny 10002, usa"
50005714,"VIETNAAM","MANHATTAN","1700","2ND AVE",10128,"2127220558","Vietnamese/Cambodian/Malaysia","8/30/16","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A","8/30/16","9/27/17","Cycle Inspection / Re-inspection","1700 2ND AVE",-73.9504336,40.7791704,"1700 2nd ave, new york, ny 10128, usa"
40942073,"RE SETTE","MANHATTAN","7","WEST   45 STREET",10036,"2122217530","Italian","11/14/13","Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",29,"","","9/27/17","Cycle Inspection / Initial Inspection","7 WEST   45 STREET",-73.9800635,40.755897,"7 w 45th st, new york, ny 10036, usa"
41603622,"POTBELLY SANDWICH WORKS","MANHATTAN","30","ROCKEFELLER CENTER",10020,"6462894203","Sandwiches/Salads/Mixed Buffet","7/12/16","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",19,"","","9/27/17","Cycle Inspection / Compliance Inspection","30 ROCKEFELLER CENTER",-73.9799726,40.7593755,"rockefeller plaza, 45 rockefeller plaza, new york, ny 10111, usa"
41643403,"DON ANTONIO RESTAURANT","MANHATTAN","309","WEST   50 STREET",10019,"6467191043","Italian","9/19/14","Violations were cited in the following area(s).","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",13,"A","9/19/14","9/27/17","Cycle Inspection / Re-inspection","309 WEST   50 STREET",-73.9867076,40.7627178,"309 w 50th st, new york, ny 10019, usa"
41458413,"PROVOCATEUR NIGHT CLUB","MANHATTAN","18","9 AVENUE",10014,"2129299036","American","4/3/15","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",16,"","","9/27/17","Cycle Inspection / Initial Inspection","18 9 AVENUE",-74.0058365,40.7397421,"18 9th ave, new york, ny 10014, usa"
41719137,"Lenny's","MANHATTAN","405","LEXINGTON AVENUE",10174,"2126977700","Sandwiches/Salads/Mixed Buffet","8/17/17","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",17,"","","9/27/17","Cycle Inspection / Initial Inspection","405 LEXINGTON AVENUE",-73.975353,40.7516502,"405 lexington ave, new york, ny 10174, usa"
41640400,"KUMO SUSHI","MANHATTAN","282","BLEECKER STREET",10014,"2123660808","Japanese","6/15/15","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",38,"","","9/27/17","Cycle Inspection / Initial Inspection","282 BLEECKER STREET",-74.0035441,40.73175,"282 bleecker st, new york, ny 10014, usa"
41648141,"NEW ASIA","MANHATTAN","666","AMSTERDAM AVENUE",10025,"6466783689","Chinese","9/28/15","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",31,"","","9/27/17","Cycle Inspection / Initial Inspection","666 AMSTERDAM AVENUE",-73.9722184,40.7919003,"666 amsterdam ave, new york, ny 10025, usa"
41350310,"MAMMA'S FAMOUS PIZZA & BURGERS","MANHATTAN","2345","BROADWAY",10024,"2123628612","Pizza","10/31/14","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",34,"","","9/27/17","Cycle Inspection / Initial Inspection","2345 BROADWAY",-73.9771291,40.788139,"2345 broadway, new york, ny 10024, usa"
40965172,"L'AILE OU LA CUISSE (L'A.O.C)","MANHATTAN","314","BLEECKER ST",10014,"2126759463","French","7/12/16","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",37,"","","9/27/17","Cycle Inspection / Initial Inspection","314 BLEECKER ST",-74.0041141,40.7327534,"314 bleecker st, new york, ny 10014, usa"
41643863,"CATA","MANHATTAN","245","BOWERY ST",10002,"2125052282","Spanish","4/28/15","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical",9,"A","4/28/15","9/27/17","Cycle Inspection / Re-inspection","245 BOWERY ST",-73.9927918,40.7226288,"245 bowery, new york, ny 10002, usa"
40888633,"SAN LOCO","MANHATTAN","111","STANTON STREET",10002,"2122537580","Mexican","10/22/14","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",44,"","","9/27/17","Cycle Inspection / Initial Inspection","111 STANTON STREET",-73.9874678,40.7210331,"111 stanton st, new york, ny 10002, usa"
50047967,"FILAGA","MANHATTAN","75","9th AVE",10011,"6466785382","Pizza/Italian","7/1/16","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A","7/1/16","9/27/17","Pre-permit (Operational) / Re-inspection","75 9th AVE",-74.0060838,40.7425548,"75 9th ave, new york, ny 10011, usa"
50033104,"HILLTOP PERK DELI","MANHATTAN","83","HAVEN AVE",10032,"2129230686","American","12/2/16","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",46,"","","9/27/17","Cycle Inspection / Initial Inspection","83 HAVEN AVE",-73.94229,40.8442409,"83 haven ave, new york, ny 10032, usa"
50017003,"GREECOLOGIES","MANHATTAN","379","BROOME ST",10013,"2129410100","Greek","1/11/16","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",22,"","","9/27/17","Cycle Inspection / Initial Inspection","379 BROOME ST",-73.9965509,40.7201639,"379 broome st, new york, ny 10013, usa"
41359153,"TWO BOOTS","MANHATTAN","1617","2 AVENUE",10028,"2127340317","Pizza","3/26/14","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","3/26/14","9/27/17","Cycle Inspection / Re-inspection","1617 2 AVENUE",-73.952983,40.7765639,"1617 2nd ave, new york, ny 10028, usa"
50011127,"MIRCH MASALA","MANHATTAN","95","MACDOUGAL ST",10012,"2127772888","Indian","6/9/15","Violations were cited in the following area(s).","02G","Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.","Critical",12,"A","6/9/15","9/27/17","Cycle Inspection / Re-inspection","95 MACDOUGAL ST",-74.0011233,40.7295261,"95 macdougal st, new york, ny 10012, usa"
41126939,"TOMMY HILFIGER","MANHATTAN","601","WEST   26 STREET",10001,"2125496444","American","11/30/15","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",10,"A","11/30/15","9/27/17","Cycle Inspection / Initial Inspection","601 WEST   26 STREET",-74.0066396,40.7514867,"601 w 26th st, new york, ny 10001, usa"
41463915,"BEANS AND VINES","MANHATTAN","4842","BROADWAY",10034,"2125442326","American","11/19/15","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",12,"A","11/19/15","9/27/17","Cycle Inspection / Initial Inspection","4842 BROADWAY",-73.9246295,40.8662653,"4842 broadway, new york, ny 10034, usa"
41630632,"J J NOODLE","MANHATTAN","19","HENRY STREET",10002,"2125712440","Chinese","5/31/16","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",31,"","","9/27/17","Cycle Inspection / Initial Inspection","19 HENRY STREET",-73.9968992,40.7129339,"19 henry st, new york, ny 10002, usa"
