"","Zipcode","price","bedrooms","bathrooms","addr","Restaurant","Store","Club.Bar","Transport","Art.Ent"
"49",2767,3360,1,3,"70 Pine St #5407","1","1","1","1","1"
"50",2767,4897,1,1,"70 Pine St #5402","1","1","1","1","1"
"51",2767,5945,2,2,"70 Pine St #4404","1","1","1","1","1"
"52",2908,3900,3,2,"9 Pinehurst Ave #2-A","1","1","1","1","1"
"53",2914,4900,2,2,"80 John St #7G","1","1","1","1","1"
"54",3664,2450,1,1,"42 Bank St #43","1","1","1","1","1"
"55",3664,3230,1,1,"42 Bank St #65","1","1","1","1","1"
"56",3766,4250,2,2,"2 Bank St #20","1","1","1","1","1"
"57",3825,3865,1,1,"756 Washington St #8B","1","1","1","1","1"
"58",3901,10500,2,2,"10 Sullivan St #3C","1","1","1","1","1"
"59",3901,35000,3,3,"10 Sullivan St #9A","1","1","1","1","1"
"60",4042,6875,2,2,"20 River Ter #17A","1","1","1","1","1"
"61",4042,5675,1,1,"20 River Ter #12J","1","1","1","1","1"
"62",4042,3400,1,9,"20 River Ter #18-Q","1","1","1","1","1"
"63",4042,5450,1,1,"20 River Ter #4K","1","1","1","1","1"
"64",4042,8350,2,2,"20 River Ter #14L","1","1","1","1","1"
"65",4042,7400,2,2,"20 River Ter #8E","1","1","1","1","1"
"66",4108,2300,2,1,"289 Pleasant Ave #3","1","1","1","1","1"
"67",4281,4985,2,2,"15 Park Row #4M","1","1","1","1","1"
"68",5401,6250,2,2,"20 Pine St #1718","1","1","1","1","1"
"69",5401,3495,1,4,"20 Pine St #1509","1","1","1","1","1"
"70",5401,4250,1,4,"20 Pine St #1016","1","1","1","1","1"
"71",5401,3000,1,4,"20 Pine St #1009","1","1","1","1","1"
"72",5401,3400,1,4,"20 Pine St #2315","1","1","1","1","1"
"73",5401,6350,2,2,"20 Pine St #1713","1","1","1","1","1"
"74",5401,5800,2,2,"20 Pine St #2607","1","1","1","1","1"
"75",5401,5200,1,1,"20 Pine St #2505","1","1","1","1","1"
"76",5401,4200,1,2,"20 Pine St #2606","1","1","1","1","1"
"77",5401,3200,1,2,"20 Pine St #2010","1","1","1","1","1"
"78",5401,4600,2,1,"20 Pine St #605","1","1","1","1","1"
"79",5401,3600,1,2,"20 Pine St #915","1","1","1","1","1"
"80",5401,4350,1,1,"20 Pine St #710","1","1","1","1","1"
"81",5401,3850,1,1,"20 Pine St #612","1","1","1","1","1"
"82",5401,3950,1,3,"20 Pine St #2201","1","1","1","1","1"
"83",6001,2450,1,1,"28 Orchard St #4B","1","1","1","1","1"
"84",6096,2650,1,1,"51 Spring St #15","1","1","1","1","1"
"85",6096,3200,1,1,"32 Spring St #2","1","1","1","1","1"
"86",6437,7300,2,1,"277 Church St #2","1","1","1","1","1"
"87",6511,2450,1,3,"1 Wall Street Ct #808","1","1","1","1","1"
"88",6511,2650,1,2,"1 Wall Street Ct #602","1","1","1","1","1"
"89",6511,2350,1,1,"1 Wall Street Ct #606","1","1","1","1","1"
"90",6770,4400,1,2,"295 Church St #3","1","1","1","1","1"
"91",6810,15500,2,2,"77 White St #2","1","1","1","1","1"
"92",6810,2400,1,1,"4 Orchard St #2B","1","1","1","1","1"
"93",6810,9300,2,2,"84-86 White St #7C","1","1","1","1","1"
"94",6810,5500,1,1,"84-86 White St #8B","1","1","1","1","1"
"95",6810,7500,1,1,"84-86 White St #6D","1","1","1","1","1"
"96",6830,1999,1,1,"48 Orchard St #1D","1","1","1","1","1"
"97",7011,2438,1,2,"20 Exchange Pl #532","1","1","1","1","1"
"98",7011,2910,1,9,"20 Exchange Pl #514","1","1","1","1","1"
"99",7011,4500,2,2,"20 Exchange Pl #206","1","1","1","1","1"
"100",7011,3034,1,1,"20 Exchange Pl #1414","1","1","1","1","1"
"101",7011,2695,1,1,"20 Exchange Pl #631","1","1","1","1","1"
"102",7017,4700,1,1,"15 William St #45C","1","1","1","1","1"
"103",7017,4250,1,1,"15 William St #11C","1","1","1","1","1"
"104",7017,6000,2,2,"15 William St #18H","1","1","1","1","1"
"105",7017,6600,2,2,"15 William St #17A","1","1","1","1","1"
"106",7017,4500,1,1,"15 William St #37C","1","1","1","1","1"
"107",7017,4250,1,1,"15 William St #17G","1","1","1","1","1"
"108",7017,7000,1,2,"15 William St #44K","1","1","1","1","1"
"109",7017,6100,2,2,"15 William St #30I","1","1","1","1","1"
"110",7017,4250,1,1,"15 William St #25G","1","1","1","1","1"
"111",7017,6500,1,2,"15 William St #43J","1","1","1","1","1"
"112",7017,4400,1,1,"15 William St #31F","1","1","1","1","1"
"113",7017,5950,2,2,"15 William St #7H","1","1","1","1","1"
"114",7017,4100,1,1,"15 William St #21D","1","1","1","1","1"
"115",7017,4200,1,1,"15 William St #21B","1","1","1","1","1"
"116",7030,6500,2,2,"123 Washington St #53D","1","1","1","1","1"
"117",7030,8000,2,2,"123 Washington St #45B","1","1","1","1","1"
"118",7030,4450,1,1,"123 Washington St #39D","1","1","1","1","1"
"119",7030,7395,2,2,"123 Washington St #40B","1","1","1","1","1"
"120",7030,4695,1,1,"123 Washington St #38G","1","1","1","1","1"
"121",7030,5500,1,1,"123 Washington St #54G","1","1","1","1","1"
"122",7030,4500,1,1,"123 Washington St #41H","1","1","1","1","1"
"123",7030,7500,2,2,"123 Washington St #49B","1","1","1","1","1"
"124",7050,3200,1,1,"90 William St #9D","1","1","1","1","1"
"125",7052,1625,1,1,"41 Park Ter W #E7","1","1","1","1","1"
"126",7060,3300,1,1,"217 E 5th St #3","1","1","1","1","1"
"127",7060,7795,2,2,"450 N End Ave #15B","1","1","1","1","1"
"128",7060,6695,2,2,"450 N End Ave #21D","1","1","1","1","1"
"129",7104,3495,2,1,"155 Ridge St #5K","1","1","1","1","1"
"130",7107,1850,1,1,"77 Park Ter E #D28","1","1","1","1","1"
"131",7302,4050,2,1,"212 Grand St #5B","1","1","1","1","1"
"132",7306,2650,1,1,"32 Jones St #5B","1","1","1","1","1"
"133",7621,1725,2,1,"64 Hillside Ave #5K","1","1","1","1","1"
"134",7626,1695,1,1,"34 Hillside Ave #1P","1","1","1","1","1"
"135",7631,5955,3,2,"135 William St #2B","1","1","1","1","1"
"136",7631,6365,4,2,"135 William St #7B","1","1","1","1","1"
"137",7928,4995,4,1,"560 Main St #482","1","1","1","1","1"
"138",7928,4295,2,2,"425 Main St #4E","1","1","1","1","1"
"139",8033,3800,1,1,"44 E End Ave #5FF","1","1","1","1","1"
"140",8060,3650,1,1,"56 Pine St #3A","1","1","1","1","1"
"141",8226,2700,2,1,"80 Haven Ave #5D","1","1","1","1","1"
"142",8611,6895,4,2,"130 William St #12BJ","1","1","1","1","1"
"143",8835,3025,1,1,"55 W End Ave #R6B","1","1","1","1","1"
"144",8835,4915,2,2,"55 W End Ave #S5M","1","1","1","1","1"
"145",8835,3195,1,1,"200 W End Ave #6K","1","1","1","1","1"
"146",8835,6325,3,2,"55 W End Ave #P32B","1","1","1","1","1"
"147",8835,2895,1,2,"33 W End Ave #13B","1","1","1","1","1"
"148",8835,3300,1,3,"200 W End Ave #7N","1","1","1","1","1"
"149",8873,1750,1,1,"28 Arden St #5F","1","1","1","1","1"
"150",10001,6290,2,2,"650 W 42nd St","3","3","3","3","1"
"151",10001,2950,1,1,"470 W 24th St #15F","3","3","3","3","1"
"152",10001,4670,1,1,"505 W 29th St #26387","3","3","3","3","1"
"153",10001,6205,2,2,"282 11th Ave","3","3","3","3","1"
"154",10001,4925,1,1,"505 W 29th St #26419","3","3","3","3","1"
"155",10001,6110,2,2,"505 W 29th St #26106","3","3","3","3","1"
"156",10001,6918,3,2,"303 10th Ave #8A","3","3","3","3","1"
"157",10001,5500,2,2,"635 W 42nd St #35J","3","3","3","3","1"
"158",10001,4688,1,1,"507 W 28th St #28L","3","3","3","3","1"
"159",10001,3938,1,1,"507 W 28th St #14A","3","3","3","3","1"
"160",10001,4246,1,1,"507 W 28th St #14K","3","3","3","3","1"
"161",10001,5500,2,2,"635 W 42nd St #42N","3","3","3","3","1"
"162",10001,5250,2,1,"635 W 42nd St #26L","3","3","3","3","1"
"163",10001,4200,1,1,"635 W 42nd St #40M","3","3","3","3","1"
"164",10001,5500,2,2,"635 W 42nd St #35L","3","3","3","3","1"
"165",10001,5800,2,2,"635 W 42nd St #31C","3","3","3","3","1"
"166",10001,5500,3,1,"635 W 42nd St #41C","3","3","3","3","1"
"167",10001,4500,2,1,"635 W 42nd St #22M","3","3","3","3","1"
"168",10001,4650,2,1,"635 W 42nd St #37T","3","3","3","3","1"
"169",10001,7500,3,2,"635 W 42nd St #38MM","3","3","3","3","1"
"170",10001,7000,3,2,"635 W 42nd St #46C","3","3","3","3","1"
"171",10001,6000,3,1,"635 W 42nd St #38CC","3","3","3","3","1"
"172",10001,4500,1,1,"635 W 42nd St #37CC","3","3","3","3","1"
"173",10001,5000,2,1,"635 W 42nd St #33L","3","3","3","3","1"
"174",10001,4500,2,1,"635 W 42nd St #28MM","3","3","3","3","1"
"175",10001,5500,1,1,"635 W 42nd St #G1","3","3","3","3","1"
"176",10001,3900,2,1,"537 W 27th St #EX3D","3","3","3","3","1"
"177",10001,3872,1,1,"303 10th Ave #7D","3","3","3","3","1"
"178",10001,3329,1,2,"507 W 28th St #4C","3","3","3","3","1"
"179",10001,7000,2,2,"312 11th Ave #34F","3","3","3","3","1"
"180",10001,6792,2,2,"507 W 28th St #27A","3","3","3","3","1"
"181",10001,7495,2,2,"231 10th Ave #4B","3","3","3","3","1"
"182",10001,39995,3,3,"508 W 24th St #PH","3","3","3","3","1"
"183",10001,6458,2,2,"507 W 28th St #1201","3","3","3","3","1"
"184",10001,12500,3,3,"635 W 42nd St #23M","3","3","3","3","1"
"185",10001,8292,2,1,"507 W 28th St #1405","3","3","3","3","1"
"186",10001,5625,2,1,"507 W 28th St #512","3","3","3","3","1"
"187",10001,8500,2,2,"635 W 42nd St #PHM","3","3","3","3","1"
"188",10001,4500,1,1,"635 W 42nd St #36CC","3","3","3","3","1"
"189",10001,6250,2,2,"635 W 42nd St #43L","3","3","3","3","1"
"190",10001,6500,3,2,"635 W 42nd St #44CC","3","3","3","3","1"
"191",10001,4650,2,1,"635 W 42nd St #42CC","3","3","3","3","1"
"192",10001,3700,1,1,"635 W 42nd St #20N","3","3","3","3","1"
"193",10001,7000,1,1,"635 W 42nd St #43C","3","3","3","3","1"
"194",10001,15000,3,3,"635 W 42nd St #PHC","3","3","3","3","1"
"195",10001,3500,1,1,"520 W 23rd St #6E","3","3","3","3","1"
"196",10001,3235,1,5,"505 W 29th St #26265","3","3","3","3","1"
"197",10001,4675,1,1,"312 11th Ave #25C","3","3","3","3","1"
"198",10001,2925,1,9,"312 11th Ave #6N","3","3","3","3","1"
"199",10001,3250,1,1,"470 W 24th St #11F","3","3","3","3","1"
"200",10001,2849,1,1,"237 9th Ave #2D","3","3","3","3","1"
"201",10001,2450,1,1,"412 W 25th St #6E","3","3","3","3","1"
"202",10001,3400,1,1,"635 W 42nd St #5B","3","3","3","3","1"
"203",10001,9000,1,2,"263 9th Ave #9E","3","3","3","3","1"
"204",10001,2949,1,2,"303 10th Ave #2C","3","3","3","3","1"
"205",10001,3695,1,1,"520 W 23rd St #6A","3","3","3","3","1"
"206",10001,3250,1,2,"507 W 28th St #919","3","3","3","3","1"
"207",10001,15000,2,2,"520 W 28th St #22","3","3","3","3","1"
"208",10001,15000,2,2,"520 W 28th St #17","3","3","3","3","1"
"209",10001,4425,2,1,"312 11th Ave #16K","3","3","3","3","1"
"210",10001,4795,2,1,"303 10th Ave #10G","3","3","3","3","1"
"211",10001,4675,1,1,"530 W 30th St #36893","3","3","3","3","1"
"212",10001,6555,2,2,"499 W 30th St #06LJ","3","3","3","3","1"
"213",10001,2850,1,1,"412 W 25th St #10","3","3","3","3","1"
"214",10001,18500,4,3,"525 W 22nd St #PHF","3","3","3","3","1"
"215",10001,14795,3,3,"530 W 30th St #37013","3","3","3","3","1"
"216",10001,15000,2,2,"520 W 28th St #18","3","3","3","3","1"
"217",10001,3225,1,1,"312 11th Ave #14J","3","3","3","3","1"
"218",10001,5200,1,1,"530 W 30th St #36892","3","3","3","3","1"
"219",10001,9475,3,3,"530 W 30th St #36897","3","3","3","3","1"
"220",10001,4938,1,1,"507 W 28th St #1D","3","3","3","3","1"
"221",10001,4595,2,2,"248 10th Ave #4","3","3","3","3","1"
"222",10001,6100,1,1,"530 W 30th St #37051","3","3","3","3","1"
"223",10001,6000,3,1,"635 W 42nd St #43I","3","3","3","3","1"
"224",10001,9500,2,2,"635 W 42nd St #28I","3","3","3","3","1"
"225",10001,3500,1,1,"635 W 42nd St #15O","3","3","3","3","1"
"226",10001,4200,2,1,"635 W 42nd St #2B","3","3","3","3","1"
"227",10001,5500,2,2,"635 W 42nd St #37N","3","3","3","3","1"
"228",10001,4700,1,1,"635 W 42nd St #45L","3","3","3","3","1"
"229",10001,3500,1,1,"635 W 42nd St #8I","3","3","3","3","1"
"230",10001,9000,3,2,"635 W 42nd St #M1","3","3","3","3","1"
"231",10001,4700,2,1,"635 W 42nd St #42NN","3","3","3","3","1"
"232",10001,3950,1,1,"635 W 42nd St #19DD","3","3","3","3","1"
"233",10001,3799,1,1,"635 W 42nd St #19S","3","3","3","3","1"
"234",10001,5500,3,1,"635 W 42nd St #44S","3","3","3","3","1"
"235",10001,5000,2,1,"635 W 42nd St #35C","3","3","3","3","1"
"236",10001,25000,3,3,"635 W 42nd St #27A","3","3","3","3","1"
"237",10001,3695,1,1,"635 W 42nd St #21C","3","3","3","3","1"
"238",10001,5175,1,1,"312 11th Ave #35A","3","3","3","3","1"
"239",10001,22500,2,2,"520 W 28th St #31","3","3","3","3","1"
"240",10001,4250,1,1,"505 W 29th St #27K","3","3","3","3","1"
"241",10001,3900,1,1,"537 W 27th St #3D","3","3","3","3","1"
"242",10001,6000,2,2,"635 W 42nd St #40CC","3","3","3","3","1"
"243",10001,2833,1,1,"507 W 28th St #5K","3","3","3","3","1"
"244",10001,6250,2,2,"507 W 28th St #15A","3","3","3","3","1"
"245",10001,4250,1,1,"460 W 24th St #2E","3","3","3","3","1"
"246",10001,8229,2,2,"507 W 28th St #2A","3","3","3","3","1"
"247",10001,8396,2,2,"507 W 28th St #1A","3","3","3","3","1"
"248",10001,4875,1,1,"507 W 28th St #2D","3","3","3","3","1"
"249",10001,7146,2,2,"507 W 28th St #1F","3","3","3","3","1"
"250",10001,18000,2,2,"520 W 28th St #14","3","3","3","3","1"
"251",10001,8545,2,2,"525 W 28th St","3","3","3","3","1"
"252",10002,4250,2,2,"10 Rutgers St","4","5","3","5","1"
"253",10002,3300,2,1,"158 Stanton St","4","5","3","5","1"
"254",10002,4195,3,1,"129 Orchard St","4","5","3","5","1"
"255",10002,3150,1,1,"136 East Broadway #12A","4","5","3","5","1"
"256",10002,2250,1,1,"91 Clinton St #2","4","5","3","5","1"
"257",10002,3295,2,1,"122 Orchard St #15R","4","5","3","5","1"
"258",10002,6695,2,2,"38 Delancey St #4B","4","5","3","5","1"
"259",10002,2500,1,1,"179 Orchard St #5","4","5","3","5","1"
"260",10002,4650,3,1,"126 Rivington St #3A","4","5","3","5","1"
"261",10002,3195,2,1,"78-84 Rivington St #6B","4","5","3","5","1"
"262",10002,4100,2,1,"162 Orchard St #2B","4","5","3","5","1"
"263",10002,7883,5,2,"207 Bowery #6F","4","5","3","5","1"
"264",10002,3700,3,1,"207 Clinton St #2","4","5","3","5","1"
"265",10002,3400,1,1,"157 Ludlow St #3F","4","5","3","5","1"
"266",10002,5350,3,1,"157 Suffolk St #103","4","5","3","5","1"
"267",10002,3900,3,1,"87 Attorney St #4D","4","5","3","5","1"
"268",10002,4100,3,1,"275 South St #8O","4","5","3","5","1"
"269",10002,3795,2,1,"59 1st Ave #2","4","5","3","5","1"
"270",10002,3507,1,1,"331 E Houston St #2E","4","5","3","5","1"
"271",10002,3100,1,1,"19 Clinton St #501","4","5","3","5","1"
"272",10002,7200,2,2,"50 Clinton St #5A","4","5","3","5","1"
"273",10002,3500,2,1,"94 Avenue C #1","4","5","3","5","1"
"274",10002,3850,2,1,"211 Henry St #4B","4","5","3","5","1"
"275",10002,4295,2,1,"309 E Houston St #6E","4","5","3","5","1"
"276",10002,7200,2,2,"182 Norfolk St #3","4","5","3","5","1"
"277",10002,6000,2,2,"331 E Houston St #12B","4","5","3","5","1"
"278",10002,3495,1,1,"101 Avenue D #7D","4","5","3","5","1"
"279",10002,3925,3,1,"512 E 5th St","4","5","3","5","1"
"280",10002,5595,3,1,"49 Ludlow St #10B","4","5","3","5","1"
"281",10002,2250,1,1,"176 Suffolk St #2C","4","5","3","5","1"
"282",10002,2895,1,1,"160 Orchard St #5F","4","5","3","5","1"
"283",10002,2195,1,1,"176 Suffolk St #3A","4","5","3","5","1"
"284",10002,2450,1,1,"86 Clinton St #2","4","5","3","5","1"
"285",10002,4200,2,1,"121 Essex St #2NDFLOOR","4","5","3","5","1"
"286",10002,2800,2,1,"151 Allen St #4C","4","5","3","5","1"
"287",10002,2895,1,1,"175 Ludlow St #10","4","5","3","5","1"
"288",10002,2950,1,1,"294 Broome St #5B","4","5","3","5","1"
"289",10002,3450,2,1,"92 Orchard St #18","4","5","3","5","1"
"290",10002,1795,1,3,"176 Ludlow St #3H","4","5","3","5","1"
"291",10002,1750,1,3,"174 Ludlow St #11","4","5","3","5","1"
"292",10002,3300,2,1,"100 Suffolk St #3W","4","5","3","5","1"
"293",10002,3250,2,1,"235 Eldridge St #22","4","5","3","5","1"
"294",10002,2600,1,4,"210 East Broadway #H1802","4","5","3","5","1"
"295",10002,4000,3,1,"203 Rivington St #FOURC","4","5","3","5","1"
"296",10002,4200,2,2,"26 Clinton St #6A","4","5","3","5","1"
"297",10002,1945,1,4,"165 Attorney St #5C","4","5","3","5","1"
"298",10002,3150,2,1,"139 Essex St #11","4","5","3","5","1"
"299",10002,2900,2,1,"189 Orchard St #4B","4","5","3","5","1"
"300",10002,2600,2,1,"195 Madison St #9","4","5","3","5","1"
"301",10002,2350,1,1,"137 Rivington St #3C","4","5","3","5","1"
"302",10002,3000,2,1,"102 Norfolk St #5","4","5","3","5","1"
"303",10002,3250,2,1,"475 Fdr Dr #L501","4","5","3","5","1"
"304",10002,2900,2,1,"700 E 9th St #14","4","5","3","5","1"
"305",10002,3875,1,1,"50 Clinton St #2F","4","5","3","5","1"
"306",10002,2100,1,5,"151 Allen St #4","4","5","3","5","1"
"307",10002,2454,2,1,"248 Broome St #13A","4","5","3","5","1"
"308",10002,2500,1,1,"261 Broome St #H2","4","5","3","5","1"
"309",10002,3700,2,1,"477 Fdr Dr #M2003","4","5","3","5","1"
"310",10002,2850,2,1,"12 Delancey St #10","4","5","3","5","1"
"311",10002,6750,3,2,"88 Clinton St #2B","4","5","3","5","1"
"312",10002,1500,3,1,"Delancey St and Orchard St","4","5","3","5","1"
"313",10002,9095,3,6,"145 Attorney St #1A","4","5","3","5","1"
"314",10002,3395,2,1,"106 Norfolk St #15F","4","5","3","5","1"
"315",10002,4295,2,2,"78-84 Rivington St #5A","4","5","3","5","1"
"316",10002,2850,2,1,"12 Delancey St #9","4","5","3","5","1"
"317",10002,2050,1,6,"156 Allen St #4B","4","5","3","5","1"
"318",10002,3784,1,1,"250 E Houston St #33","4","5","3","5","1"
"319",10002,2399,1,1,"608 E 9th St #7","4","5","3","5","1"
"320",10002,3195,1,8,"169 Bowery #6A","4","5","3","5","1"
"321",10002,2095,1,1,"95 Pitt St #3","4","5","3","5","1"
"322",10002,2495,1,1,"63 Clinton St #E","4","5","3","5","1"
"323",10002,3375,2,1,"121 Rivington St #21B","4","5","3","5","1"
"324",10002,3000,2,1,"36 Ludlow St #5","4","5","3","5","1"
"325",10002,10500,4,3,"125 Rivington St #3","4","5","3","5","1"
"326",10002,7300,2,2,"188 Ludlow St #22H","4","5","3","5","1"
"327",10002,3500,2,1,"237 Eldridge St #19","4","5","3","5","1"
"328",10002,3195,2,1,"29 A Clinton St #3D","4","5","3","5","1"
"329",10002,2429,1,1,"69 Clinton St #4A","4","5","3","5","1"
"330",10002,3100,2,1,"144 East Broadway #H","4","5","3","5","1"
"331",10002,5000,2,2,"399 E 8th St #8B","4","5","3","5","1"
"332",10002,1995,1,1,"45 1st Ave #4NW","4","5","3","5","1"
"333",10002,2950,2,1,"34 Orchard St #6","4","5","3","5","1"
"334",10002,2895,2,1,"15 Essex St #4","4","5","3","5","1"
"335",10002,2100,1,1,"160 Allen St #4","4","5","3","5","1"
"336",10002,3195,1,1,"77-79 Delancey St #4D","4","5","3","5","1"
"337",10002,2100,1,1,"66 Orchard St #5","4","5","3","5","1"
"338",10002,4795,3,1,"198 Rivington St #1AB","4","5","3","5","1"
"339",10002,4495,2,1,"198 Rivington St #4AB","4","5","3","5","1"
"340",10002,3295,2,1,"63 Clinton St #4F","4","5","3","5","1"
"341",10002,1875,1,1,"93 Clinton St #6","4","5","3","5","1"
"342",10002,2650,2,1,"65 Rivington St #7","4","5","3","5","1"
"343",10002,3854,2,1,"399 E 8th St #6A","4","5","3","5","1"
"344",10002,4000,2,1,"144 Orchard St #4C","4","5","3","5","1"
"345",10002,3585,2,1,"100 Forsyth St #14A","4","5","3","5","1"
"346",10002,3700,3,1,"121 Henry St #3","4","5","3","5","1"
"347",10002,2900,2,1,"90 Rivington St #5D","4","5","3","5","1"
"348",10002,3806,1,1,"250 E Houston St #3J","4","5","3","5","1"
"349",10002,6500,2,2,"38 Delancey St #11B","4","5","3","5","1"
"350",10002,4250,1,1,"152 Ludlow St #6C","4","5","3","5","1"
"351",10002,4950,1,1,"105 Norfolk St #4A","4","5","3","5","1"
"352",10002,3495,3,1,"188 Suffolk St #1BW","4","5","3","5","1"
"353",10002,6700,2,2,"50 Clinton St #4A","4","5","3","5","1"
"354",10002,2863,2,1,"249 Broome St #14R","4","5","3","5","1"
"355",10002,3995,3,1,"161 Ludlow St #7","4","5","3","5","1"
"356",10002,2320,1,1,"206 Rivington St #1C","4","5","3","5","1"
"357",10002,2590,1,1,"61 Delancey St #1E","4","5","3","5","1"
"358",10002,3775,3,1,"55 Delancey St #1W","4","5","3","5","1"
"359",10002,3295,3,1,"207 Madison St #1A","4","5","3","5","1"
"360",10002,2995,2,1,"207 Madison St #22-A","4","5","3","5","1"
"361",10002,4500,3,1,"188 Suffolk St #3C","4","5","3","5","1"
"362",10002,2650,2,1,"40 Rivington St #18","4","5","3","5","1"
"363",10002,3590,1,1,"27 Ludlow St #6","4","5","3","5","1"
"364",10002,5644,4,2,"116 Avenue C #19","4","5","3","5","1"
"365",10002,2395,1,1,"51 1st Ave #4","4","5","3","5","1"
"366",10002,4800,3,2,"116 Avenue C #8","4","5","3","5","1"
"367",10002,3900,3,1,"81 Orchard St #12","4","5","3","5","1"
"368",10002,2700,1,1,"150 Henry St #5A","4","5","3","5","1"
"369",10002,2350,1,1,"Pitt St and Rivington St","4","5","3","5","1"
"370",10002,6650,2,2,"188 Ludlow St #6A","4","5","3","5","1"
"371",10002,2900,2,1,"75 Orchard St #22","4","5","3","5","1"
"372",10002,2363,1,1,"99 Allen St #6","4","5","3","5","1"
"373",10002,3985,1,3,"188 Ludlow St #6K","4","5","3","5","1"
"374",10002,1945,1,3,"150 Orchard St #4D","4","5","3","5","1"
"375",10002,2795,1,3,"15 Stanton St #4B","4","5","3","5","1"
"376",10002,2649,1,1,"11 Stanton St #1C","4","5","3","5","1"
"377",10002,3595,2,3,"371 Madison St #4419","4","5","3","5","1"
"378",10002,4150,2,3,"371 Madison St #4513","4","5","3","5","1"
"379",10002,2995,2,1,"79 Clinton St #2AK","4","5","3","5","1"
"380",10002,18000,4,3,"191 Chrystie St #5","4","5","3","5","1"
"381",10002,2699,1,4,"199 Bowery #6E","4","5","3","5","1"
"382",10002,2355,1,4,"25 Clinton St #401","4","5","3","5","1"
"383",10002,2650,2,1,"29 Clinton St #2B","4","5","3","5","1"
"384",10002,4500,1,1,"105 Norfolk St #10C","4","5","3","5","1"
"385",10002,6500,2,2,"199 Bowery #7D","4","5","3","5","1"
"386",10002,2462,1,1,"175 Orchard St #3","4","5","3","5","1"
"387",10002,1925,1,5,"156 Orchard St #1F","4","5","3","5","1"
"388",10002,2990,1,1,"568 Grand St #J901","4","5","3","5","1"
