NAME,TEL,URL,ADRESS1,ZIP,longtitude,latitude
Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,10021,-73.95971083,40.76052578
Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue,10022,-73.97499987,40.75824831
Museum for African Art,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue,11101,-73.92822391,40.74634174
Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street,10005,-74.0091216,40.70648459
Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,10021,-73.96690031,40.76471562
Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,10019,-73.98200725,40.76740607
Museum of Biblical Art,(212) 408-1200,http://www.mobia.org/,1865 Broadway,10023,-73.98272584,40.77025241
Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,10013,-73.99919192,40.71945395
Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway,10012,-73.99670248,40.72479795
Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,11217,-73.97442478,40.68524514
Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place,10280,-74.01858572,40.70598665
Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street,10019,-73.97700363,40.76118664
Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue,10029,-73.95191697,40.79250903
Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,11106,-73.92451017,40.75694449
National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue,10128,-73.95849177,40.78361317
National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,10301,-74.07373713,40.64094902
National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green,10004,-74.01372705,40.70432126
National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.911memorial.org/,1 Liberty Plaza,10006,-74.01091566,40.70965449
Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue,10028,-73.96024813,40.78124234
New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery,10002,-73.99283879,40.7223467
New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street,10012,-74.00693426,40.72557181
New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip,10038,-74.00811754,40.70347829
New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street,11368,-73.8516868,40.74714779
New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street,10024,-73.97425754,40.77927324
New York Tolerance Center,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St,10017,-73.97912411,40.75242292
New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,0,-73.99002597,40.6905237
Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street,10025,-73.9690225,40.802914
Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace,10301,-74.10177204,40.64431194
Old Stone House,(718) 768-3195,http://www.theoldstonehouse.org/,326 5th Avenue,11215,-73.98461861,40.67299347
P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave.,11101,-73.94621242,40.74583947
Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street,10019,-73.97760161,40.76057364
Queens Art Museum - Bulova Corporate Center,(516) 624-1910,http://www.bdg.net/properties/1/,75-20 Astoria Blvd.,11386,-73.89314846,40.76460726
Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway,11004,-73.72573661,40.7455696
Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,11368,-73.84676276,40.74584286
Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street,10024,-73.97257491,40.78285983
Rose Museum at Carnegie Hall,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street,0,-73.9799105,40.76501231
Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street,10011,-73.99779153,40.74002038
Sandy Ground Historical Society,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road,0,-74.21650282,40.54097835
Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave.,10016,-73.98008844,40.7494469
Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,10037,-73.94099076,40.81461273
School of Visual Arts Museum,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St.,10010,-73.98224233,40.73875919
Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,10307,-74.1975893,40.51521434
Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place,10280,-74.01756807,40.70565753
Solomon R. Guggenheim Museum,(212) 423-3500,http://www.guggenheim.org/,1071 Fifth Avenue,10128,-73.95891102,40.78300948
Sony Wonder Technology Lab,(212) 833-8100,http://wondertechlab.sony.com/,550 Madison Ave,10022,-73.97350782,40.7614703
South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street,10038,-74.00372094,40.70660336
Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr.,10301,-74.10189211,40.64270888
Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,10301,-74.07766506,40.64436918
Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street,10027,-73.94772615,40.80824548
Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street,10002,-73.98967905,40.7186877
"The Freakatorium, El Museo Loco",(212) 375-0475,http://www.freakatorium.com/,57 Clinton St.,10002,-73.98501449,40.71961673
The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,104 E. 126th Street,10035,-73.93805874,40.80527638
The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy,11213,-73.94196177,40.66891158
The Museum at FIT,(212) 217-5800,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street,10001,-73.99392967,40.74700838
Theodore Roosevelt Birthplace,(212) 260-1616,http://www.nps.gov/thrb/index.htm,28 East 20th Street,10003,-73.98904085,40.73864201
Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street,10003,-73.98975703,40.72767679
Valentine-Varian House,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave.,10467,-73.87942472,40.87737982
Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,10471,-73.89482257,40.89111117
Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue,10471,-73.91165377,40.89788471
Whitney Museum of American Art,1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave.,10021,-73.96383435,40.77340729
Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave,11203,-73.9207963,40.64434068
Leo Baeck Institute,(212) 744-6400,http://www.lbi.org/,15 W. 16th St.,10011,-73.99376449,40.73802754
American Sephardi Federation / Sephardic House,(212) 294-8350,http://www.americansephardifederation.org/,15 W. 16th St.,10011,-73.9938858,40.73807723
YIVO Institute for Jewish Research,(212) 246-6860,http://www.yivoinstitute.org/,15 W. 16th St.,10011,-73.99379427,40.73795995
American Jewish Historical Society,(212) 294-6160,http://www.ajhs.org/,15 W. 16th St.,10011,-73.9939289,40.73801538
Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St.,10011,-73.99381737,40.73804568
Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St.,10011,-73.99386877,40.73798676
